shotid,category,confidence,evidence
20190731019,meteor,high,"Emission-line forest 3500-3900A (Ca II/Fe I); peak 104 sigma above continuum; 61 spike columns"
20220928016,meteor,high,"Strong emission lines across full range; peak 93 sigma; 116 spike columns; brightest of the set"
20240311025,meteor,high,"BOTH streaks show meteor emission spectra (92 and 50 sigma); likely fragmenting meteor"
20200523028,meteor,high,"Emission-line forest 3500-3900A plus 5170A Mg b; peak 45 sigma; 71 spike columns"
20230720009,meteor,high,"Emission lines superposed on bright continuum; peak 32 sigma; 31 spike columns"
20190301026,poor_fit,high,"Fit lines offset from bright streak in IFU 024 and green-streak IFU 034"
20190407022,poor_fit,high,"IFU 063: streak lies outside the line pair; lines converge away from streak"
20200226021,poor_fit,high,"IFU 076: diagonal streak, fit lines vertical - wrong position angle"
20200226025,poor_fit,high,"IFU 014: diagonal streak vs vertical fit lines; inconsistent across IFUs"
20200419019,poor_fit,high,"IFU 015 and 023: bright diagonal streak sits above the near-horizontal fit lines"
20200826022,poor_fit,high,"No streak inside lines in 024/087; horizontal streak crosses fit in 045"
20210807024,poor_fit,high,"IFU 096: streak outside lines; IFU 105: no streak between lines"
20211029014,poor_fit,high,"IFU 015: streak lies left of both fit lines"
20211203015,poor_fit,high,"IFU 047: streak above the upper fit line; IFU 030 has no streak"
20220302014,poor_fit,high,"No streak visible in any of the 5 IFUs - likely spurious detection"
20220306014,poor_fit,high,"No streak in 4 of 5 IFUs; 060 shows a detector artifact, not a streak"
20220405017,poor_fit,high,"IFU 013 and 025: streak falls below the lower fit line"
20220408023,poor_fit,high,"IFU 032 and 033: streak above the upper fit line; 031 has no streak"
20220701009,poor_fit,high,"No streak visible in any IFU; 024 shows a horizontal detector artifact"
20220703017,poor_fit,high,"No streak between the vertical fit lines in 2 of 3 IFUs"
20220827024,poor_fit,high,"IFU 043: horizontal streak but vertical fit lines - wrong position angle"
20221123006,poor_fit,high,"No streak between the near-horizontal fit lines in any IFU - likely spurious"
20230715013,poor_fit,high,"IFU 022 and 050: streak sits left of / outside the line pair"
20230722009,poor_fit,high,"IFU 080: streak at far left, outside lines; IFU 070: no streak at all"
20190207021,poor_fit,borderline,"Fit lines much wider than the streak; loose extraction aperture"
20190410019,poor_fit,borderline,"Fit line angle differs from streak angle in IFU 021"
20190414009,poor_fit,borderline,"Fit runs along the IFU edge; streak only partially contained"
20200819023,poor_fit,borderline,"IFU 076: streak sits at the edge of the line pair"
20211204012,poor_fit,borderline,"IFU 036: streak lies left of the fit line"
20220527017,poor_fit,borderline,"IFU 071: two crossing streaks, fit follows only one"
20221123009,poor_fit,borderline,"No streak between lines in 2 of 4 IFUs"
20220504012,single_spike_artifact,medium,"Single narrow spike near 3900A - cosmic ray / bad column, not a meteor"
20221118013,single_spike_artifact,medium,"Single narrow spike near 3900A - cosmic ray / bad column, not a meteor"
20220531019,single_spike_artifact,medium,"Single narrow spike near 4060A - cosmic ray / bad column, not a meteor"
